author,url,birth
Juhász Gyula,1278,1883
Ady Endre,1116,1877
Dsida Jenő,1060,1907
Petőfi Sándor,839,1823
Reményik Sándor,667,1890
Vörösmarty Mihály,662,1800
Kosztolányi Dezső,630,1885
József Attila,599,1905
Babits Mihály,514,1883
Tompa Mihály,491,1817
Tóth Árpád,451,1886
Arany János,417,1817
Csokonai Vitéz Mihály,394,1773
Somlyó Zoltán,379,1882
Reviczky Gyula,335,1855
Madách Imre,319,1823
Komjáthy Jenő,246,1858
Virág Benedek,211,1754
Vajda János,199,1827
Verseghy Ferenc,192,1757
Gyulai Pál,156,1826
Amade László,154,1703
Szenci Molnár Albert,150,1574
Kölcsey Ferenc,150,1790
Berzsenyi Dániel,136,1776
Kisfaludy Károly,123,1788
Balassi Bálint,107,1554
Kaffka Margit,102,1880
Bajza József,97,1804
Garay János,97,1812
Ányos Pál,88,1756
Karinthy Frigyes,87,1887
Fazekas Mihály,75,1766
Szentjóbi Szabó László,62,1767
Batsányi János,62,1763
Kazinczy Ferenc,58,1759
Földi János,46,1755
Faludi Ferenc,46,1704
Petrőczy Kata Szidónia,43,1658
Bessenyei György,40,1747
Móricz Zsigmond,35,1879
Eötvös József,33,1813
Dayka Gábor,29,1769
Katona József,24,1791
Tinódi Sebestyén,22,1510
Zrínyi Miklós,20,1620
Kisfaludy Sándor,9,1772
Bornemisza Péter,8,1535
Arany László,6,1844
