Szerző	Műcím	Webcím
"Ady Endre"	"»A BÁNAT DALAI«-BÓL"	https://verskorpusz.elte-dh.hu/view.php?id=1858
"Ady Endre"	"»A XXX-IK SZÁZADBÓL«"	https://verskorpusz.elte-dh.hu/view.php?id=1458
"Ady Endre"	"»ÁDÁM, HOL VAGY?«"	https://verskorpusz.elte-dh.hu/view.php?id=1304
"Ady Endre"	»ADÁNAK«	https://verskorpusz.elte-dh.hu/view.php?id=1636
"Ady Endre"	"»ÖRVENDEZZ, IFJÚ, IFJÚSÁGODBAN«"	https://verskorpusz.elte-dh.hu/view.php?id=1325
"Ady Endre"	"»TE ELŐTTED VOLT«"	https://verskorpusz.elte-dh.hu/view.php?id=1981
"Ady Endre"	"(MEDVE) MIKLÓSNAK - BANDI"	https://verskorpusz.elte-dh.hu/view.php?id=2106
"Ady Endre"	"[RÉVÉSZ BÉLÁNAK]"	https://verskorpusz.elte-dh.hu/view.php?id=1951
"Ady Endre"	"[RÉVÉSZNEK - ADY]"	https://verskorpusz.elte-dh.hu/view.php?id=1797
"Ady Endre"	"A »DIES IRAE«"	https://verskorpusz.elte-dh.hu/view.php?id=1682
"Ady Endre"	"A »NEM TUDOM«"	https://verskorpusz.elte-dh.hu/view.php?id=1710
"Ady Endre"	"A BEFALAZOTT DIÁK"	https://verskorpusz.elte-dh.hu/view.php?id=1490
"Ady Endre"	"A BÉKÉS ELTÁVOZÁS"	https://verskorpusz.elte-dh.hu/view.php?id=1261
"Ady Endre"	"A BÉLYEGES SEREG"	https://verskorpusz.elte-dh.hu/view.php?id=1741
"Ady Endre"	"A BOZÓT LEÁNYA"	https://verskorpusz.elte-dh.hu/view.php?id=1743
"Ady Endre"	"A BÖLCSESSÉG ÁLDOZÁSA"	https://verskorpusz.elte-dh.hu/view.php?id=1944
"Ady Endre"	"A BŰNÖK KERTJÉBEN"	https://verskorpusz.elte-dh.hu/view.php?id=1816
"Ady Endre"	"A CÁRI ÁGYÚ FILOZOFÁL"	https://verskorpusz.elte-dh.hu/view.php?id=1725
"Ady Endre"	"A CIGÁNY VONÓJÁVAL"	https://verskorpusz.elte-dh.hu/view.php?id=1314
"Ady Endre"	"A CIVÓDÓ MAGYAR"	https://verskorpusz.elte-dh.hu/view.php?id=1345
"Ady Endre"	"A CSALÓ VITORLÁS"	https://verskorpusz.elte-dh.hu/view.php?id=1815
"Ady Endre"	"A CSATATÉR HŐSE"	https://verskorpusz.elte-dh.hu/view.php?id=1347
